buld_nm,승강기번호,주소,고장,고장일자,,sido,sigungu,buld_nm,,,,,,,,
하늘애아파트 2차,122-02409,서울특별시 은평구 진흥로 37-1 (역촌동),Y,2013.10.10,,서울특별시,은평구,진흥로,,,,,,,,
한남동동원베네스트,140-02935,서울특별시 용산구 독서당로 22 (한남동),Y,2012.2.14,,서울특별시,용산구,독서당로,,,,,,,,
울진읍내휴먼시아,767-00200,경상북도 울진군 울진읍 월변2길 56-21 ,Y,2012.8.29,,경상북도,울진군,울진읍,,,,,,,,
패션아일랜드(KR유통),300-01824,대전광역시 동구 은어송로 72 (가오동),Y,2014.5.5,,대전광역시,동구,은어송로,,,,,,,,
송화마을휴먼시아1단지,503-01568,광주광역시 남구 효우로60번길 50 (노대동),Y,2012.1.15,,광주광역시,남구,효우로60번길,,,,,,,,
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2011.4.13,,서울특별시,은평구,서오릉로,,,,,,,,
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2011.4.8,,서울특별시,은평구,서오릉로,,,,,,,,
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2010.9.9,,서울특별시,은평구,서오릉로,,,,,,,,
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2012.3.21,,서울특별시,은평구,서오릉로,,,,,,,,
이지빌,122-02000,서울특별시 은평구 서오릉로 149-22 (구산동),Y,2011.12.12,,서울특별시,은평구,서오릉로,,,,,,,,
잠실엘스아파트(삼성래미안),138-06348,서울특별시 송파구 올림픽로 99 (잠실동，잠실엘스),Y,2013.12.15,,서울특별시,송파구,올림픽로,,,,,,,,
인앤인주상복합아파트,305-03437,대전광역시 유성구 북유성대로 219 (지족동),Y,2011.5.24,,대전광역시,유성구,북유성대로,,,,,,,,
인앤인주상복합아파트,305-03437,대전광역시 유성구 북유성대로 219 (지족동),Y,2012.1.8,,대전광역시,유성구,북유성대로,,,,,,,,
인앤인주상복합아파트,305-03440,대전광역시 유성구 북유성대로 219 (지족동),Y,2011.8.13,,대전광역시,유성구,북유성대로,,,,,,,,
대실역e편한세상,711-01001,대구광역시 달성군 다사읍 죽곡1길 42 ,Y,2010.12.2,,대구광역시,달성군,다사읍,,,,,,,,
신협빌딩,217-00710,강원도 속초시 미시령로 3373-11 (교동),Y,2010.6.25,,강원도,속초시,미시령로,,,,,,,,
다인타운,410-02780,경기도 고양시 일산동구 숲속마을1로 26 (풍동),Y,2014.6.13,,경기도,고양시,일산동구,,,,,,,,
양가마을,370-00086,충청북도 영동군 영동읍 양가2길 33 ,Y,2012.1.25,,충청북도,영동군,영동읍,,,,,,,,
양덕풍림아이원,791-01660,경상북도 포항시 북구 양덕로 60 (양덕동，풍림아이원아파트),Y,2016.1.10,,경상북도,포항시,북구,,,,,,,,
양덕풍림아이원,791-01716,경상북도 포항시 북구 양덕로 60 (양덕동，풍림아이원아파트),Y,2015.9.12,,경상북도,포항시,북구,,,,,,,,
양덕풍림아이원,791-01810,경상북도 포항시 북구 양덕로 60 (양덕동，풍림아이원아파트),Y,2016.1.2,,경상북도,포항시,북구,,,,,,,,
양덕풍림아이원,791-01862,경상북도 포항시 북구 양덕로 60 (양덕동，풍림아이원아파트),Y,2010.11.23,,경상북도,포항시,북구,,,,,,,,
평강상가Ⅰ,407-02338,인천광역시 계양구 계양대로 111 (작전동),Y,2011.9.15,,인천광역시,계양구,계양대로,,,,,,,,
성훈프라자,305-03499,대전광역시 유성구 지족로364번길 19 (지족동),Y,2012.6.6,,대전광역시,유성구,지족로364번길,,,,,,,,
DMC이안상암2단지관리단,121-03521,서울특별시 마포구 월드컵북로 361 (상암동),Y,2011.3.29,,서울특별시,마포구,월드컵북로,,,,,,,,
DMC이안상암2단지관리단,121-03483,서울특별시 마포구 월드컵북로 361 (상암동),Y,2011.3.29,,서울특별시,마포구,월드컵북로,,,,,,,,
